id_client,CARTE_VISA,DECES,MRH,PACK_BLEDI_ARE,TOUT_EN_UN,COMPTE_D_EPARGNE_ZERO,COMPTES_DEVISES
8385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5604,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7702,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42480,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56060,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24341,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87280,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89810,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69529,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3790,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43680,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21757,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94070,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10280,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67940,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73497,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2212,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64673,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51612,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51220,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74880,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
